,question_title,question_type
615,How to send broadcast message to console in Linux from C program,1
616,Comparing two csv files matching and merging using perl,1
617,stty: standard input: Invalid argument when using pdsh or ssh,1
618,jsf 2 custom composite component with Primefaces,1
619,Using phonegap to develop an Android app,0
620,exit the process once Jar is completed,2
621,Getting message Review the SQL script to be applied on the database,2
622,"Pythonic way of checking if all values in kwargs are the string ""false""",1
623,Creating symbolic links in AIX 6.1 server,1
624,angular iterate over json,0
625,Error Installing twilio iOS SDK,1
626,Unix Shell scripting query on sed,1
627,How to swipe gesture segue back to previous view ios?,1
628,ios Objective C why does a method with no name work,0
629,Gson : StackOverflowError,0
630,"Key board appears every time when it open the home activity of my app,UNABLE to HIDE KEYBOARD",2
631,"""Order cannot be fulfilled"" error after updating order status in Amazon MWS",2
632,Electron browser icon not showing in Linux,2
633,Hadoop concatenate files recursively maintaining directory structure,2
634,NSTableView unhideRowsAtIndexes crashes,0
635,Continuously delete contents of EditText on button hold Android,0
636,Eclipse without project,0
637,need to remove last polyline and create current polyline,2
638,Querying user_meta table to look up email in the wp_users table,2
639,Plotting points on a map with D3,2
640,Sonata admin dynamic admin list due to sortable,0
641,results ordering by the query string,1
642,Why postgres show two different format for same interval value?,0
643,Is it important to add AutoCloseable in java?,0
644,Running MapReduce job in Oozie,2
645,"Rails tests, fixture & class loading order",0
646,Detecting Which users are actively in a certain order,0
647,Gettting a reload page call to fire only once,2
648,"Is this pattern a service locator, or a command factory, or something else?",0
649,"Spring Data REST - JsonGenerationException: Can not write a number, expecting field name",2
650,Unable to run google maps apiv2,1
651,FileNotFoundException trying to send JSON to .NET webservice using HttpURLConnection,2
652,saving dask dataframe in bcolz format,0
653,How to append several lines when iterating through List?,1
654,How to inactivate class in Tools window of project of Android Studio,1
655,Duplicating a git repository and its GIT-LFS settings,2
656,RestKit POST object with NULL parameters,2
657,How to print from a random 2 dimensional array,1
658,Should.js: check if two arrays contain same strings,0
659,Cocos2d-X how to change Android minSDKVersion,1
660,Is there any way to hide attributes in a Rails Jbuilder template?,0
661,"Rails Async Active Job doesn't execute code, while inline does",0
662,calling a variable in select -expandproperty,2
663,Java batch processing job listener afterJob get id of a job,0
664,server socket error timer management,0
665,EF code-first 1:* 1:0..1 relationship between the same models,2
666,Is there a more efficient way to reset the contents of cells that have been edited in a JTable back to what they previously were,2
667,UTF8 with php pear DB package not working,0
668,Effect for logo automatic resize on the menu,1
669,Using UNION instead of OR in MySQL?,0
670,"Dealing with loop, fluidRow and column in shiny",1
671,Error creating bean with name 'sessionFactory' Unable to instantiate default tuplizer [org.hibernate.tuple.entity.PojoEntityTuplizer],2
672,Visual Studio with Xamarin rendering display in designer taking a long time,1
673,MVC 5 BeginCollectionItem Model Always Null,2
674,Get all the distinct users through mongodb aggregation,1
675,Add header to http request,1
676,javascript: open window and print,2
677,I am getting an empty XmlNodeList eventhough XML is wellformed,0
678,ASP.NET MVC4 - ADO.NET - Saving a large number of files from ZipArchives to sql server,2
679,C++ How to Reference Other Classes?,1
680,Progress bar seems to be offset,2
681,Code that works for a form control doesn't work for ActiveX control,2
682,"How can I render an Angular directive in a popup window, allow it to communicate with the main window?",1
683,Randomizing the display order of content using AMP,0
684,Error during assets:precompile because of Javascript function default argument,0
685,How to mask divs with a linear gradient mask?,1
686,Completely wiping dotnetnuke cache,0
687,intersect and topcount and order function in MDX query,1
688,How to construct a new WPF form from a different thread in c#,2
689,WPF - Is it possible to export DataGrid into PDF?,0
690,'Unknown key(s)' ArgumentError,2
691,Why do local variables in Magento have an underscore prefix?,0
692,How to Send the Current Thread to Sleep,1
693,Laravel Custom Ordering of Eloquent,2
694,I am trying to get a public IP from an instance I am just starting up,2
695,axios is not saving an Array in to MongoDB,0
696,Taking forever to save a pandas dataframe from google colab session to my google drive,2
697,Create a list of java methods that ultimately call a specified method,0
698,Cleanup flatpak repo folder?,0
699,Clang without GCC or MSVC,0
700,How to give some margin between buttons? (database content),2
701,Keycloak Bear-Only Client with and without Authorization Client Secret,0
702,Case insensitive user input strings,0
703,Mechanize::Firefox gets stuck,2
704,sql query for join two tables of different databases that are in two Servers,0
705,Python decompression relative performance?,2
706,"What are ""Activations"", ""Activation Gradients"", ""Weights"" and ""Weight Gradients"" in Convolutional Neural Networks?",2
707,"PHP-page and HTML-form submits look so messy, how to avoid submits to SELF?",2
708,ipcMain: event.reply is not a function,2
709,python grpc: setting timeout per grpc call,1
710,"What is the means of terms ""Building Block"" in javascript?",0
711,Hybrid demo not returning oauth request token,2
712,Querying values in multiple databases,1
713,How to find elem with espresso that doesn't have any specific information about it?,1
714,sendto not working on VxWorks,2
715,Flash/html not working on all browsers on Mac,0
716,Cannot use polymorphism because of generic base class,0
717,"Custom form shape slow to load, store Region on disk! c#",0
718,Text align in Illustrator CS5,1
719,How to save and retry reporting GKAchievement's after network failure?,1
720,jquery not working in IE,0
721,Comment Illegal Unicode Sequences,2
722,HTML Table with scrollbar or select list with columns?,1
723,Cycle animation,1
724,Logic for 9 key keyboard to print qwerty keys,1
725,java: is the default document of a JTextField always a PlainDocument?,0
726,How to ignore warnings from external C++ dependency headers in Bazel,1
727,FBOs render to texture and glReadPixels,0
728,See dynamicly generated DOM and CSS,0
729,"DataOutputStream, does it lose some bits",2
730,Seperation of notification confirmation+storage and handling notification asp.net mvc,2
731,Last 2 letters of the uri defining the used language,0
732,Session variable assigned to data table and create object reference problem?,0
733,Which Search / Tag system is better?,2
734,Eclipse's WTP translation output,2
735,Continuous Integration setup for ruby projects on linux server,0
736,Implementation of WS-ReliableMessaging for Axis 1.4,0
737,"Process.Start() throwing intermittent ""No application is associated.."" on .DOC files",0
738,Simulate build provider in ASP.NET Web Application (.Net 2.0),2
739,AS3: Splice two items in different places?,0
740,Receiving SIGABRT error when launching TTPhotoviewController in iPhone,2
741,Using Resteasy with javassist?,2
742,jQuery validation - only show one error message,0
743,Can we access orkut using RSS?,0
744,predeclaration in c++,2
745,DNS CNAME type Records have incorrect RDLENGTH fields?,2
746,"when building a web spider, should you use recursion?",0
747,Object reference problem when reaching the end of a XML string,0
748,cfnetwork memory leaks in iPhone,0
749,Haskell: -fglasgow-exts should one avoid code that requires this?,2
750,Best practices for using @ in C#,0
751,How to customize Dispform.aspx in Sharepoint List,1
752,ASP.NET Sitemap .ResourceKey property is null,0
753,"Abort due to constraint violation columns GroupId, idx are not unique",1
754,LINQ to SQL Table List to Interface List,1
755,PHP: Is it possible to call the class that created you?,1
756,Printing a PDF from a Windows service,1
757,$data findAll query in CakePHP checking values from second table,1
758,"Excel, OleDb, and Leading zeros",0
759,Custom Windows Workflow activity that executes an asynchronous operation - redone using generic service,2
760,"How to open a ""nul"" file?",2
761,MySQL select records that sums,2
762,Good articles for Sharepoint Web Part creation?,0
763,WCF and confirmations - do I need to send back a 'OK got it' to client?,1
764,Master Pages fail to recognize new controls,0
765,How to map classes in NHibernate using Roles or Composition,1
766,"Pentaho data integration, csv input, add filename column",1
767,condition do mark a pixel in an image,1
768,"Multiple ""If"" statements in a batch file",1
769,Struts2 - Get the url from error page,2
770,Converting excel file to csv using python error message,2
771,unexpected call to method or property access?,2
772,angular.js:13424 Error: [$resource:badcfg] Error in resource configuration for action `delete`,2
773,Java Multihreading Synchronization with Lock,1
774,Flask: How to avoid generate any kind of answer for a specific URL,1
775,How do I break the game when objects collide on Matlab?,2
776,Visual C# storing and reading custom options to and from a custom XML in Appdata,0
777,openCV : Detect object without displaying the webcam view window,0
778,Resetting pointer to an array of chars,2
779,my scrollview does not show the last item (Button),2
780,Update state of component with componentWillReceiveProps,2
781,Delay when loading image from Internet into CircleImageView in Android,0
782,JS Promises - Angular - Can then be used on any function?,2
783,Is there a way to ignore components PreferredSize?,0
784,How to read line by line in a custom Django upload handler?,1
785,Find today's date in a .txt file and print line?,1
786,create an array and sort it in ascending and descending way [MIPS],1
787,hostless DNS CNAME record,0
788,How to schedule action at various timings from a list in Python,1
789,How to remove time from Calender.js,1
790,Split branch in two branches / Merge a branch selectively,1
791,Custom django auth backend not logging the user with base login view,2
792,Insert form data into two different tables on database through jsp page,1
793,How to keep content both in single-line while aligning it to the bottom?,1
794,Multiple criteria in Access query,0
795,Unable to store comma values in a ClosedXML Cell with C#,1
796,Python sklearn.linear_model: LinearRegression() ValueError occured when .predict(),0
797,Localization in an iOS app,2
798,"Crontab seems to execute script, but script doesn't work",2
799,JQuery - Toggle <TR> in table template,0
800,Return the Modulo of negative numbers in a vector R,0
801,Parameter Error on Rails: `param is missing or the value is empty: exercise`,2
802,Script validation required on data list option,0
803,App build gives error,2
804,Constructor-like statement in Java to call super,0
805,Neo4j 2.3.0 cypher query logging settings and performance tweaks,0
806,Why is my implementation of a map on a custom type not correct?,0
807,Can't achieve CORS with Express.js,2
808,Nginx block access to sub directory when sub directory name is unknown,0
809,Why do I get null values for my instance of a class when they are not supposed to be null?,0
810,Neo4j - complexity of search by indexed parameter,0
811,Three Dimensional Boolean Arrays In Java,2
812,"PySide import error Mac OS X El Capitan, Library not loaded: @rpath/libpyside.cpython-34m.1.2.dylib",2
813,JavaScript | Angular | Controller As Syntax: Cannot Use `this`,0
814,sum-aggregate function with non-unique values,2
815,MS CRM What is the difference between [dbo].[Entity].[IsAudited] and [dbo].[Entity].[IsAuditEnabled]?,0
816,Binding string field from child to parent component not working,0
817,Issue With Pulling Remote XML Data into Oracle Database,2
818,SetWindowPos moves window to different position every time,2
819,Stop removal of whole table when rows still exist,2
820,Showing which month had the lowest rainfall amount- arrays java,1
821,I am a newbie to android development and I am having some problems,2
822,Load two divs with a single AJAX call,1
823,Why doesn't CLion link my project with OpenCV for Windows?,1
824,Google Sheets - How to round SUMs across several cells once a number limit is reached,2
825,Where is the kubelet on AWS EKS?,0
826,Ionic application is not working on 4.4 and 5.1,2
827,'RPC Server is unavailable' error but script still appears to work,2
828,Problem when saving a png to jpg in opencv,0
829,Linked List Stack Using Any Datatype in Python,2
830,Navigation bar Large Titles are shrunk if data is loaded off-screen through an Rx datasource binding,2
831,mysql container connection refused,2
832,How to make each item in ListView clickable in such a way that it would call another activity?,1
833,Get the corresponding starting local hour in utc c#,1
834,Custom GIS Routes,1
835,how to print List of Objects inside Object in Thymleaf?,1
836,Write query with subquery in CodeIgniter Query Builder?,1
837,Splunk doesnt return all the results - using rest API -,1
838,Count the number of rows in subgroups in group by object,1
839,How to transform a coordinate system into the origin coordinate system,2
840,Golang template interprets html as plain text,0
841,Is it possible or recommended to make the central repository as bare repository when git-flow initiated,0
842,Getting error when running npm-run after git merging conflicts,2
843,Angular-Nodejs SSL,1
844,"how to compare the values of two columns using condition, and assign a value when that condition is met",1
845,Searching through a file and seperate data in a file with a separator value in vb.net,2
846,React - Filter list by gender or age,2
847,Javascript Countdown Seconds Skip As I Add More Than One Timer Inside Page,1
848,Python: Avoid repetition with .get(''),0
849,How to read the legend text along with the radio button label when the focus is on radio button,2
850,Remove one goal from plugin execution from parent pom,1
851,Retrieve the first data from multiple almost the same or correct data in table,1
852,Android ViewPager: Scroll to next item only when the previous item is scrolled to 90%,1
853,Jenkins process gets killed when I close the putty session of ec2 instance,0
854,How to make sense of this scala stacktrace?,1
855,How can I find vulnerabilities in this code?,1
856,How to fix ValueError: too many values to unpack?? PYTHON,1
857,Python: writing HTML anchor points dynamically based on number of string finds,2
858,Where in Django code put code disconnecting signal and doing monkey-patching?,1
859,How to download a file from Google Cloud Storage and return it in Spring controller,2
860,Can Cloud Scheduler trigger by user?,1
861,Crash in a modified version of an official ZeroMQ mutithreaded example,2
862,Show stream video in angular 8 with HTML5 Player,2
863,Load files to Azure file storage using python,1
864,How can countdown timer continue running even if app if close?,1
865,What is the password they are requesting to generate key hashes for development environments?,1
